Input	Match type	Approved symbol	Approved name	HGNC ID	Location
RP42	Synonyms	DCUN1D1	defective in cullin neddylation 1 domain containing 1	HGNC:18184	3q26.33
RP43	Synonyms	PDE6A	phosphodiesterase 6A	HGNC:8785	5q32
RP44	Synonyms	RGR	retinal G protein coupled receptor	HGNC:9990	10q23.1
RP45	Synonyms	CNGB1	cyclic nucleotide gated channel beta 1	HGNC:2151	16q21
RP46	Synonyms	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	HGNC:5385	20p13
RP47	Synonyms	SAG	S-antigen visual arrestin	HGNC:10521	2q37.1
RP48	Synonyms	GUCA1B	guanylate cyclase activator 1B	HGNC:4679	6p21.1
RP49	Synonyms	CNGA1	cyclic nucleotide gated channel alpha 1	HGNC:2148	4p12
RP5	Entry withdrawn	RP5~withdrawn		HGNC:10285	
RP50	Synonyms	BEST1	bestrophin 1	HGNC:12703	11q12.3
RP51	Synonyms	TTC8	tetratricopeptide repeat domain 8	HGNC:20087	14q31.3
RP53	Synonyms	RDH12	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)	HGNC:19977	14q24.1
RP54	Synonyms	C2orf71	chromosome 2 open reading frame 71	HGNC:34383	2p23.2
RP55	Synonyms	ARL6	ADP ribosylation factor like GTPase 6	HGNC:13210	3q11.2
RP56	Synonyms	IMPG2	interphotoreceptor matrix proteoglycan 2	HGNC:18362	3q12.3
RP57	Synonyms	PDE6G	phosphodiesterase 6G	HGNC:8789	17q21.1
RP58	Synonyms	ZBTB18	zinc finger and BTB domain containing 18	HGNC:13030	1q44
RP58	Synonyms	ZNF513	zinc finger protein 513	HGNC:26498	2p23.3
RP59	Synonyms	DHDDS	dehydrodolichyl diphosphate synthase subunit	HGNC:20603	1p36.11
RP6	Approved symbol	RP6	retinitis pigmentosa 6 (X-linked recessive)	HGNC:10286	Xp21.3-p21.2
RP60	Synonyms	PRPF6	pre-mRNA processing factor 6	HGNC:15860	20q13.33
RP61	Previous symbol	CLRN1	clarin 1	HGNC:12605	3q25.1
RP62	Synonyms	MAK	male germ cell associated kinase	HGNC:6816	6p24.2
RP63	Approved symbol	RP63	retinitis pigmentosa 63 (autosomal dominant)	HGNC:49652	6q23
RP64	Synonyms	C8orf37	chromosome 8 open reading frame 37	HGNC:27232	8q22.1
RP65	Synonyms	CDHR1	cadherin related family member 1	HGNC:14550	10q23.1
RP66	Synonyms	RBP3	retinol binding protein 3	HGNC:9921	10q11.22
RP66	Previous symbol	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein	HGNC:17146	16q13
RP67	Synonyms	NEK2	NIMA related kinase 2	HGNC:7745	1q32.3
RP68	Unmatched				
RP69	Unmatched				
RP7	Previous symbol	PRPH2	peripherin 2	HGNC:9942	6p21.1
RP70	Unmatched				
RP71	Unmatched				
RP72	Unmatched				
RP73	Unmatched				
RP74	Unmatched				
RP75	Unmatched				
RP8	Synonyms	MT-TS2	mitochondrially encoded tRNA serine 2 (AGU/C)	HGNC:7498	mitochondria
RP8	Synonyms	PDCD2	programmed cell death 2	HGNC:8762	6q27
RP9	Approved symbol	RP9	retinitis pigmentosa 9 (autosomal dominant)	HGNC:10288	7p14.3
RPE65	Approved symbol	RPE65	RPE65, retinoid isomerohydrolase	HGNC:10294	1p31.3
RPGR	Approved symbol	RPGR	retinitis pigmentosa GTPase regulator	HGNC:10295	Xp11.4
RPGRIP1	Approved symbol	RPGRIP1	retinitis pigmentosa GTPase regulator interacting protein 1	HGNC:13436	14q11.2
RPGRIP1L	Approved symbol	RPGRIP1L	RPGRIP1 like	HGNC:29168	16q12.2
RS1	Approved symbol	RS1	retinoschisin 1	HGNC:10457	Xp22.13
RS1	Synonyms	RSC1A1	regulator of solute carriers 1	HGNC:10458	1p36.21
RTN4IP1	Approved symbol	RTN4IP1	reticulon 4 interacting protein 1	HGNC:18647	6q21
RVCL	Unmatched				
SAG	Approved symbol	SAG	S-antigen visual arrestin	HGNC:10521	2q37.1
SAG	Synonyms	RNF7	ring finger protein 7	HGNC:10070	3q23
SANS	Synonyms	USH1G	USH1 protein network component sans	HGNC:16356	17q25.1
SCA34	Previous symbol	ELOVL4	ELOVL fatty acid elongase 4	HGNC:14415	6q14.1
SCA7	Previous symbol	ATXN7	ataxin 7	HGNC:10560	3p14.1
SDCCAG8	Approved symbol	SDCCAG8	serologically defined colon cancer antigen 8	HGNC:10671	1q43-q44
SEMA4A	Approved symbol	SEMA4A	semaphorin 4A	HGNC:10729	1q22
SEMAB	Previous symbol	SEMA4A	semaphorin 4A	HGNC:10729	1q22
SFD	Synonyms	ATP6V1H	ATPase H+ transporting V1 subunit H	HGNC:18303	8q11.23
SFD	Previous symbol	TIMP3	TIMP metallopeptidase inhibitor 3	HGNC:11822	22q12.3
SIFD	Unmatched				
SLC24A1	Approved symbol	SLC24A1	solute carrier family 24 member 1	HGNC:10975	15q22.31
SLC25A46	Approved symbol	SLC25A46	solute carrier family 25 member 46	HGNC:25198	5q22.1
SLC7A14	Approved symbol	SLC7A14	solute carrier family 7 member 14	HGNC:29326	3q26.2
SLSN1	Synonyms	NPHP1	nephrocystin 1	HGNC:7905	2q13
SLSN3	Synonyms	NPHP3	nephrocystin 3	HGNC:7907	3q22.1
SLSN4	Synonyms	NPHP4	nephrocystin 4	HGNC:19104	1p36.31
SLSN5	Synonyms	IQCB1	IQ motif containing B1	HGNC:28949	3q13.33
SLSN6	Synonyms	CEP290	centrosomal protein 290	HGNC:29021	12q21.32
SLSN7	Synonyms	SDCCAG8	serologically defined colon cancer antigen 8	HGNC:10671	1q43-q44
SNRNP200	Approved symbol	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200	HGNC:30859	2q11.2
SOPH	Unmatched				
SPAM	Synonyms	EYS	eyes shut homolog (Drosophila)	HGNC:21555	6q12
SPARC	Approved symbol	SPARC	secreted protein acidic and cysteine rich	HGNC:11219	5q33.1
SPARCAN	Unmatched				
SPATA7	Approved symbol	SPATA7	spermatogenesis associated 7	HGNC:20423	14q31.3
SPG39	Synonyms	PNPLA6	patatin like phospholipase domain containing 6	HGNC:16268	19p13.2
SPG55	Synonyms	C12orf65	chromosome 12 open reading frame 65	HGNC:26784	12q24.31
SPP2	Approved symbol	SPP2	secreted phosphoprotein 2	HGNC:11256	2q37.1
SPP2	Synonyms	SGPP2	sphingosine-1-phosphate phosphatase 2	HGNC:19953	2q36.1
SPP2	Synonyms	GPKOW	G-patch domain and KOW motifs	HGNC:30677	Xp11.23
SPP24	Synonyms	SPP2	secreted phosphoprotein 2	HGNC:11256	2q37.1
SRTD10	Unmatched				
SRTD9	Unmatched				
STAMP	Unmatched				
STGD1	Previous symbol	ABCA4	ATP binding cassette subfamily A member 4	HGNC:34	1p22.1
STGD2	Previous symbol	ELOVL4	ELOVL fatty acid elongase 4	HGNC:14415	6q14.1
STGD3	Previous symbol	ELOVL4	ELOVL fatty acid elongase 4	HGNC:14415	6q14.1
STGD4	Previous symbol	PROM1	prominin 1	HGNC:9454	4p15.32
STL1	Synonyms	COL2A1	collagen type II alpha 1 chain	HGNC:2200	12q13.11
STL2	Synonyms	COL11A1	collagen type XI alpha 1 chain	HGNC:2186	1p21.1
SVD	Unmatched				
TCF13	Previous symbol	TEAD1	TEA domain transcription factor 1	HGNC:11714	11p15.3
TEAD1	Approved symbol	TEAD1	TEA domain transcription factor 1	HGNC:11714	11p15.3
TEF1	Unmatched				
TEM5L	Unmatched				
TIMM8A	Approved symbol	TIMM8A	translocase of inner mitochondrial membrane 8A	HGNC:11817	Xq22.1
TIMP3	Approved symbol	TIMP3	TIMP metallopeptidase inhibitor 3	HGNC:11822	22q12.3
TLR3	Approved symbol	TLR3	toll like receptor 3	HGNC:11849	4q35.1
TLR4	Approved symbol	TLR4	toll like receptor 4	HGNC:11850	9q33.1
TMEM126A	Approved symbol	TMEM126A	transmembrane protein 126A	HGNC:25382	11q14.1
TMEM216	Approved symbol	TMEM216	transmembrane protein 216	HGNC:25018	11q13.1
TMEM237	Approved symbol	TMEM237	transmembrane protein 237	HGNC:14432	2q33.1
TMEM76	Previous symbol	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase	HGNC:26527	8p11.21-p11.1
TMEM77	Previous symbol	DRAM2	DNA damage regulated autophagy modulator 2	HGNC:28769	1p13.3
TOPORS	Approved symbol	TOPORS	TOP1 binding arginine/serine rich protein	HGNC:21653	9p21.1
TREX1	Approved symbol	TREX1	three prime repair exonuclease 1	HGNC:12269	3p21.31
TRIM32	Approved symbol	TRIM32	tripartite motif containing 32	HGNC:16380	9q33.1
TRIP5	Synonyms	KIF11	kinesin family member 11	HGNC:6388	10q23.33
TRNH	Synonyms	MT-TH	mitochondrially encoded tRNA histidine	HGNC:7487	mitochondria
TRNL1	Synonyms	MT-TL1	mitochondrially encoded tRNA leucine 1 (UUA/G)	HGNC:7490	mitochondria
TRNP	Synonyms	MT-TP	mitochondrially encoded tRNA proline	HGNC:7494	mitochondria
TRNS2	Synonyms	MT-TS2	mitochondrially encoded tRNA serine 2 (AGU/C)	HGNC:7498	mitochondria
TRNT1	Approved symbol	TRNT1	tRNA nucleotidyl transferase 1	HGNC:17341	3p26.2
TRPM1	Approved symbol	TRPM1	transient receptor potential cation channel subfamily M member 1	HGNC:7146	15q13.3
TSPAN12	Approved symbol	TSPAN12	tetraspanin 12	HGNC:21641	7q31.31
TTC8	Approved symbol	TTC8	tetratricopeptide repeat domain 8	HGNC:20087	14q31.3
TTLL5	Approved symbol	TTLL5	tubulin tyrosine ligase like 5	HGNC:19963	14q24.3
TTLL5	Previous symbol	TTLL10	tubulin tyrosine ligase like 10	HGNC:26693	1p36.33
TTPA	Approved symbol	TTPA	alpha tocopherol transfer protein	HGNC:12404	8q12.3
TU15B	Unmatched				
TUB	Approved symbol	TUB	tubby bipartite transcription factor	HGNC:12406	11p15.4
TUBGCP4	Approved symbol	TUBGCP4	tubulin gamma complex associated protein 4	HGNC:16691	15q15.3
TUBGCP6	Approved symbol	TUBGCP6	tubulin gamma complex associated protein 6	HGNC:18127	22q13.33
TULP1	Approved symbol	TULP1	tubby like protein 1	HGNC:12423	6p21.31
UNC119	Approved symbol	UNC119	unc-119 lipid binding chaperone	HGNC:12565	17q11.2
USH1	Unmatched				
USH1A	Entry withdrawn	USH1A~withdrawn		HGNC:12595	
USH1B	Previous symbol	MYO7A	myosin VIIA	HGNC:7606	11q13.5
USH1C	Approved symbol	USH1C	USH1 protein network component harmonin	HGNC:12597	11p15.1
USH1D	Previous symbol	CDH23	cadherin related 23	HGNC:13733	10q22.1
USH1E	Approved symbol	USH1E	Usher syndrome 1E (autosomal recessive, severe)	HGNC:12599	21q21
USH1F	Previous symbol	PCDH15	protocadherin related 15	HGNC:14674	10q21.1
USH1G	Approved symbol	USH1G	USH1 protein network component sans	HGNC:16356	17q25.1
USH1H	Approved symbol	USH1H	Usher syndrome 1H (autosomal recessive)	HGNC:22433	15q22-q23
USH1J	Previous symbol	CIB2	calcium and integrin binding family member 2	HGNC:24579	15q25.1
USH1K	Approved symbol	USH1K	Usher syndrome 1K (autosomal recessive)	HGNC:43724	10p11.21-q21.1
USH2A	Approved symbol	USH2A	usherin	HGNC:12601	1q41
USH2B	Entry withdrawn	USH2B~withdrawn		HGNC:12602	
USH2C	Previous symbol	ADGRV1	adhesion G protein-coupled receptor V1	HGNC:17416	5q14.3
USH2D	Synonyms	WHRN	whirlin	HGNC:16361	9q32
USH3	Previous symbol	CLRN1	clarin 1	HGNC:12605	3q25.1
USH3A	Previous symbol	CLRN1	clarin 1	HGNC:12605	3q25.1
USH3B	Approved symbol	USH3B	Usher syndrome 3B	HGNC:12606	reserved
VCAN	Approved symbol	VCAN	versican	HGNC:2464	5q14.2-q14.3
VLGR1	Synonyms	ADGRV1	adhesion G protein-coupled receptor V1	HGNC:17416	5q14.3
VMD1	Approved symbol	VMD1	vitelliform macular dystrophy, atypical	HGNC:12702	8q24.3
VMD2	Previous symbol	BEST1	bestrophin 1	HGNC:12703	11q12.3
VMD3	Unmatched				
VRD1	Unmatched				
VRNI	Previous symbol	CAPN5	calpain 5	HGNC:1482	11q13.5
WDPCP	Approved symbol	WDPCP	WD repeat containing planar cell polarity effector	HGNC:28027	2p15
WDR19	Approved symbol	WDR19	WD repeat domain 19	HGNC:18340	4p14
WDTC2	Previous symbol	IFT140	intraflagellar transport 140	HGNC:29077	16p13.3
WFS1	Approved symbol	WFS1	wolframin ER transmembrane glycoprotein	HGNC:12762	4p16.1
WFS2	Previous symbol	CISD2	CDGSH iron sulfur domain 2	HGNC:24212	4q24
WGN1	Unmatched				
WHRN	Approved symbol	WHRN	whirlin	HGNC:16361	9q32
XLRS1	Synonyms	RS1	retinoschisin 1	HGNC:10457	Xp22.13
ZNF408	Approved symbol	ZNF408	zinc finger protein 408	HGNC:20041	11p11.2
ZNF423	Approved symbol	ZNF423	zinc finger protein 423	HGNC:16762	16q12.1
ZNF513	Approved symbol	ZNF513	zinc finger protein 513	HGNC:26498	2p23.3
